company_name,company_number
HAVE A GO ENTERTAINMENT LIMITED,14920722
TOMATO90 LTD,14720315
LSDIGITALSERVICES LIMITED,14748728
WHISTLEHQ LTD,14869362
DERRY AMUSEMENTS & GAMING LIMITED,NI635286
NEXTGEN BETTING LTD,11934808
PLANET HOLDINGS (IRELAND) LTD,NI034097
J RAINEY BOOKMAKER LTD,NI602422
MCQUAID BINGO LIMITED,NI658811
A.B. JOHNSONS LIMITED,SC087864
GRAND ENTERTAINMENTS LIMITED,7111376
DOMS CARS (UK) LIMITED,6835704
MATT & ALEX ONLINE BUSINESS LTD,11327696
MIDLANDS CAR GIVEAWAYS LTD,11869312
L.G. LEISURE (NORTH WALES) LTD,9943556
SUMMIT LEISURE (KC) LIMITED,9972448
REDZONE SPORTS LIMITED,10277468
THE GAME ROOM LIMITED,10658332
MILLIONS RAFFLE LTD,12739270
INTEGRATED PROMOTIONS LTD,12611417
EMPIRE SKEGNESS LIMITED,9887850
MUCH GAMES LTD,15798771
WIN BIG FOR LESS LTD,12586158
METEORGAMES LTD,15813804
INTERGAMESOLUTIONS LTD,14944124
GAN (UK) LIMITED,3883658
GOODWIN RACING LIMITED,3477145
ARCADIA GAMING LIMITED,11237460
SOUTHAMPTON QE2 HOTEL LIMITED,7666834
IN TOUCH GAMES LIMITED,4629082
WINSLOW ONE LIMITED,6422121
REELS CASINO SLOTS LTD,9618666
OASIS RETAIL SERVICES LIMITED,NI007191
WINON GAMING LTD,15738265
WIN COMPS LTD,SC815136
RANGERS FC POOLS LTD,SC584163
ARISTOCRAT TECHNOLOGIES EUROPE (HOLDINGS) LIMITED,3318610
BETSETGO LIMITED,11576635
PLAYERBET LIMITED,14605629
KINDER GROUP LIMITED,5851680
VU GAMES LIMITED,SC271500
O'GORMAN BROTHERS LIMITED,3720289
PARKERS LEISURE (HOLDINGS) LIMITED,609150
THE STOREY GROUP LIMITED,2851474
REOHORN AUTOMATICS & AMUSEMENTS LIMITED,8225564
RACING 4 PROFIT LTD,3433953
SWIFTY SPORTS LTD,14969091
SHIPLEY (LEISURE) ENTERPRISES LIMITED,1297718
ILUDO82 LIMITED,9081907
BRESBET ONCOURSE LTD,15645135
BRIDGE PHONOGRAPHICS LIMITED,2134548
SAM HARRIS LIMITED,2127052
MIRAGE LEISURE LIMITED,2874121
THE GAMBLING TIMES LIMITED,10388077
PAT O'HARE BOOKMAKERS LIMITED,3667879
ASHBY GAMING MACHINES LTD,12291417
POSTCODE ACTIVE TRUST,SC481121
PLYMOUTH LEISURE LIMITED,4811339
TDCO LIMITED,11300287
FRONTIER AMUSEMENTS LTD,14416473
MILLENNIUM CASINO JUNKET COMPANY LIMITED,13475584
ENLIGHT INVESTMENT GROUP LIMITED,15781223
MIRAGE BINGO LIMITED,5817276
DAVID PLUCK (NORTH WEST) LIMITED,1477372
RACERIVAL LIMITED,15713460
SAFE HARBOUR GROUP LIMITED,15096848
FOSTER WORLDWIDE LIMITED,14938606
CASTLE GAMES LIMITED,3397772
REEL LEISURE LIMITED,553321
N. CHARLES & SON LIMITED,5178234
ST DAVIDS PROMOTIONS LIMITED,3288579
CASH48 LTD,14969095
ST CLARE HOSPICE TRADING COMPANY LIMITED,2951374
BLAKESTONES ENTERTAINMENT LTD,11811263
BETS R US LTD,15007230
BARRY R JOHNSON LIMITED,5272170
SILVER DOLLAR CASINOS LTD,12304298
SONCO GAMING MANAGEMENT UK LTD.,11732827
IN TOUCH AMUSEMENT LIMITED,7282071
ROSE POKER LTD,12766912
SOBELL LOTTERY LTD,3737178
RYDE RACING LIMITED,4254712
ILUDO LIMITED,8158782
OXFORD BINGO (BRADFORD) LIMITED,910363
STARS GROUP UK1 LIMITED,11438414
SHIPLEY BROTHERS LIMITED,2799746
FF GAMING LIMITED,14423897
TRICKYBET LIMITED,10388066
LUCKY SPOT COMPETITION LTD,13243508
HG3 TRADING LTD,15910694
SOUTHESK DEVELOPMENTS LIMITED,SC181476
I-POOLS (HOST) LIMITED,8082541
D.J.C. (AMUSEMENTS) LIMITED,3042008
GENIUS SPORTS HOLDINGS LIMITED,10326954
REDNINES GAMING LTD,11622562
BUZZ BINGO DIGITAL LIMITED,12838479
GOLDEN NUGGET CLUB LIMITED,2690212
AMUSE EAST LONDON LIMITED,7853772
LONDON CLUBS LSQ LIMITED,5152337
LONDON CLUBS NOTTINGHAM LIMITED,3016939
BB TRADING LTD,15094911
DIMITRA ZAFEIRI LTD,15903144
BADGER RACING LIMITED,6836484
STAR BOOKMAKERS (UK) LIMITED,4968681
PHOENIX COMPS LIMITED,15919715
TAYLORS BOOKMAKERS LIMITED,6495982
SPORTING INDEX LIMITED,2636842
STAR SNOOKER LIMITED,NI033875
THE BINGO ASSOCIATION LIMITED,7588517
LES CROUPIERS CASINO LIMITED,1351740
TOWER PROMOTIONS LIMITED,NI606692
CITYSIDE AMUSEMENTS LIMITED,NI033871
COMMODORE AMUSEMENTS LIMITED,NI033982
J.E. SHEERAN (AMUSEMENT ARCADES) LIMITED,SC058340
UK>SPEED RATINGS LTD,6290579
ROSE GOLD WINS LTD,15926220
FINBARN LTD,NI046527
CHARLIE MILLER RACING LTD,6911287
STAR RACING LIMITED,6475105
CARLTON CLUBS LIMITED,SC123870
TOWER LOTTERY PARTNERSHIP LIMITED,9212141
COLLEGE RACING (BECKENHAM) LIMITED,3666997
THALES CONSULT LIMITED,7217214
FANTASY FURLONG LTD,11552103
BOTSPHERE LIMITED,5564605
MAWC DIGITAL CONSULTING LTD,15853645
ALL ODDS LTD,13181363
AIR DICE SERVICES (UK) LIMITED,9938112
TSMC CONSULTANCY LIMITED,13981865
PEDELL LTD,11310028
HOLIDAYCOMPS LTD,15095719
COTSWOLD RACING LTD,13953020
B. G. RACING LTD,6209162
AAA RACING LTD,11965249
BD PROMOTIONS LTD,12328687
BETS AND BANTER LTD,11238475
WANNABETONIT LTD,10896975
METABET LIMITED,12226093
BOBBY DAZZLER PRIZES LIMITED,15950528
BEARBULL LTD.,13324848
RED JACK MEDIA LIMITED,5233687
CASTLE BINGO LIMITED,3142416
ANA EYK ENTERPRISES LTD,15957515
WILDER FUTURE SERVICES LIMITED,12473987
FUN CITY (UK) LTD,3238099
TIPP24 SERVICES LIMITED,6362572
MYLOTTO24 LIMITED,6131579
ALTBET LIMITED,9335006
BRENLAND LEISURE LTD,1073257
LTTD LIMITED,14981461
NDOGSCOMPS LIMITED,14979464
HIEUGENI LTD,14978058
POSTCODE INTERNATIONAL TRUST,SC476398
BETFAIR GENERAL BETTING LIMITED,5992333
POSTCODE CARE TRUST,SC407953
ENTNET LTD,8218428
POSTCODE JUSTICE TRUST,SC441725
POSTCODE INNOVATION TRUST,SC532119
LOTTERY FUNDING SOLUTIONS LIMITED,9937699
THE FOOTBALL POOLS LIMITED,10573569
UK LOTTERY MANAGEMENT LIMITED,2884057
VFM1 GROUP LTD,14517190
